word	phone
dza	dzˈa
dodoɔ	dodˈoˈe
galamsey	ɡalˈamsej
nnyimpa	nɲˈimpa
repra	rˈepra
nnɛte	nnjtˈe
mmoa	mmˈoa
apaake	apaˈake
wɔaboaboa	wˈæabˌoabˈoa
repepa	repˈepa
edwa	ˈedwa
mmaayaa	mmɑɑjˈɑɑ
ɔgyina	eɟjˈina
wɔatwa	weˈatwa
ɔdze	ˈedze
ndzɛma	ˈendˈezˈemˈa
nyi	ɲˈi
sopɛɛse	sopt͡sˈese
sononko	sonˈonko
mbesia	mbesˈia
ntere	ntˈere
ntoos	ntˈoːs
efuw	efˈuw
neho	nˈeho
kyene	kjˈene
wɔama	wˈeˈama
tree	triə
buroni	burˈoni
redi	rˈedi
anum	ˈanum
ɔretɔn	eɾetˈen
atifi	atˈifi
nkuruma	nkurˈuma
akɔ	acˈe
didi	dˈidi
ɔyɛkyerɛ	ejæçjˈert͡s
ɔpanyin	epaɲˈin
akokɔ	acocˈe
santen	sˈanten
wapagya	wapˈaɡja
abusuafoɔ	abuswafoˈe
enipa	enˈipa
woedzi	wˈudzi
ɔtse	ˈetse
white	wˈite
atow	atˈow
bɛrima	bˈæðrimˈa
haban	hˈaban
nkyɛn	ˈençjˈen
wɔma	wˈema
sɛnea	senˈea
wasɔ	wˈasˈe
mpanimfoɔ	mpanimfˈoe
ntwerɛeɛ	ntwert͡sˈet͡s
afira	afˈira
odi	ˈodi
ɔyarefoɔ	ejaɾefoˈe
colour	kolˈour
canopy	kanˈopi
adetɔnfoɔ	adetænfoˈe
ha	hˈa
nakyir	nˈakjir
atwitwa	atwˈitwa
ɔkuta	ecˈuta
wɔregye	werˈeɟje
adidi	adˈidi
wɔnye	wˈeɲe
asukuufoɔ	asucˈuufoˈe
abaayaa	abˈaɑjˈaː
hɔn	hˈen
woesi	wˈusi
wogyina	woɡjˈina
mmɛɛma	mmqlˈæma
biako	bjˈako
bucket	bˈukket
tetare	tetˈare
apagya	apˈaɡja
mfinfin	mfinfˈin
ɛɛ	ˈelˈet
retɔ	rˈetæ
kala	kˈala
griin	ɡrˈiin
totorobɛnto	totoɾobantˈo
wɔrenoa	wˈerenˈoa
ɔkyerɛ	eçjˈert͡s
mfrankaa	mfrankˈɑɑ
mfonyini	mfoɲˈini
nko	nkˈo
wɔfura	wefˈura
asrafo	asrˈafo
benkum	bˈenkum
wɔakɔ	wɛacˈe
tractor	trˈɑt͡ʃtor
ɛkyɛw	ˈeçjˈæw
wɔre	wˈere
ahusuo	ahusˈuo
hyehyɛ	hjˈehjz
nahosu	nahˈosu
adowa	adˈowa
sika	sˈika
ɛhwɛ	ˈeɕˌehwˈeq
bicycle	bisˈɯkle
ɔrekasa	erekˈasa
abubuafoɔ	abubuafoˈe
traffic	trˈaffik
ewiemhyɛn	ewiemhjˈæn
fufuuo	fufˈywo
akwan	akwˈan
afei	afˈei
ɛresa	qrˈesa
nye	njˈe
yiye	jˈije
ahoɔden	ahoædˈen
keteke	ketˈeke
ebiasa	ebjˈasa
wama	wˈama
aberante	aberˈante
basabasa	bˌasɑbˈɑsɑ
renoa	renˈoa
apa	ˈapa
wodzi	wˈodzi
be	bˈe
trɔsa	trˈesa
ihu	ˈihu
fom	fˈom
abobɔ	abˈobe
pan	pˈan
handkerchief	handkerxif
mpoano	mpoˈano
akonwa	akˈonwa
kunu	kˈunu
asraafoɔ	asraafoˈe
drink	drˈiŋk
ℇdan	ksdˈan
green	ɡrˈeːn
ice	ˈise
nsɛntwerɛfoɔ	ˈensentwert͡sfoˈe
ataade	ataˈade
ena	ˈena
agyina	aɟjˈina
ntadeɛ	ntadˈet͡s
atosode	atosˈode
adi	ˈadi
abranteɛ	abrantˈet͡s
boat	boˈat
ahahanmono	ahahanmˈono
mpanyimfo	mpaɲˈimfo
nkruma	nkrˈuma
ntama	ntˈɑma
serɛ	sˈert͡s
ntare	ntˈare
wɔasiesie	wæˈasisie
bɔtɔ	bˈetˈe
zebra	zˈebra
ahwehwɛniwa	ahwˈehwælnˈiwa
ℇhyɛn	sˈehjˈen
nnadeɛ	nnadˈet͡s
kita	kˈita
ɔredidi	eɾedˈidi
wɔakye	wˈeˈakje
cupboard	kˈupboˈard
atade	atˈade
santene	santˈene
ɛretwi	qrˈetwi
kukuo	kukˈuo
ɛsɛ	ˈeqst
toys	tˈojs
edziban	edzˈiban
nsuomnam	nswomnˈam
akɛseɛ	acsˈet͡s
mmako	mmˈako
ɛbinom	qbinˈom
tenatena	tenatˈena
asene	asˈene
beberee	beberˈee
ɛho	ɕˈo
wasiesie	wasisie
asaso	asˈaso
beae	bˈeaˈe
fiti	fˈiti
atuo	atˈuo
duukuu	dˈyːkˈuː
ɔba	ˈeba
ahwendze	ahwˈendze
sɔ	sˈe
ekuo	ekˈuo
kurom	kurˈom
ɛgugu	ɕɟˈuʁu
pon	pˈon
sogya	sˈoɡja
ɔresu	erˈesu
mfutukwan	mfutˈukwan
wɔnsa	wˈensa
apegyapegya	apeɟjapˈeɟja
sini	sˈini
black	blˈɑk
taa	tˈɑː
praeɛ	praˈets
atwere	atwere
suneɛ	sunˈet͡s
afade	afˈade
afunu	afˈunu
waakye	wɑːkɛɪə
kyɛ	çjl
atenten	atˈenten
wɔahyɛ	weˈahjz
fura	fˈura
kumaa	kumˈɑɑ
lɔɔre	leærˈe
akokɔsrade	acocesradˈe
wɔatow	wæˈatow
agua	aɡˈua
ɛhɛn	ˈeɕˈehˈen
ɛtoa	eltoˈa
wɔakata	wæakˈata
wei	wˈe͡ɪ
remiamia	remjˈamia
okuta	oqˈuta
gyaade	ɟjaˈade
